YEAR,L3,total_revenue,total_volume
2010,A.B.COMPANY OF WISCONSIN,31.49,47
2010,ADELANTE INC,161.23000000000002,57
2010,ALBERS DEVELOPMENT LLC,1388.15,511
2010,ALLEN CANNING CO,834.48,470
2010,ALTRIA GROUP,6545.89,2513
2010,AMERI FOODS SNACKS,858.21,434
2010,AMERIFOODS,2897.45,606
2010,ANACON FOODS CO,718.6,230
2010,ANN'S HOUSE OF NUTS INC,58.830000000000005,17
2010,ARA FOOD CORP,269.13,158
2010,ARBOR NUT PRODS,26.22,38
2010,ART'S MEXC PRODS INC,397.06,159
2010,AUNT EM'S GOURMET POPCORN,3.59,1
2010,AURORA PRODUCTS,805.14,136
2010,AZTECA FOODS INC,1102.04,795
2010,B&H COMPANY,245.62,88
2010,BACHMAN CO,33863.15,14343
2010,BALLREICH BROS INC,7563.01,2500
2010,BARBARA'S BAKERY,612.2,277
2010,BBM CHOCOLATE DISTRIBUTORS LTD,9.32,12
2010,BEATRICE FOODS CO,86.57,43
2010,BEIGEL & BEIGEL,539.43,393
2010,BENZEL BRETZEL BKR INC,3166.28,1956
2010,BETTER MADE SNACK FOODS INC,11051.19,4100
2010,BIMBO BAKERIES USA,4214.1900000000005,1583
2010,BIRDS EYE FOODS INC,8403.21,3495
2010,BLACKBIRD FOOD CO,10.39,2
2010,BLOOM PCKG CORP,28.88,82
2010,BOB EVANS FARMS INC,1458.94,427
2010,BODACIOUS FOOD COMPANY,2627.13,714
2010,BOLNERS FIESTA PRODS INC,16.01,9
2010,BRIMHALL FOODS CO INC,129.82,102
2010,C J VITNER CO,926.65,1038
2010,C. R. FRANK POPCORN & SUPP,593.3,170
2010,CALBEE AMER INC,9847.88,5394
2010,CAPE COD POTATO CHIP,92522.06,31033
2010,CAROLINA COUNTRY MANUFACTURING,365.03000000000003,297
2010,CARRIAGE HILL BRANDS INC,49.39,52
2010,CASA SANCHEZ,934.77,313
2010,CENTRAL SNACKS INC,317.6,230
2010,CHEEZE KURLS INC,719.78,569
2010,CHEMA PORK SKINS,1384.89,351
2010,CHICHARRONES MAMBI,15.21,9
2010,CLASSIC FOODS INC,461.04,466
2010,COLBY RIDGE POPCORN,2590.87,1075
2010,CONAGRA FOODS INC,15989.72,8480
2010,CONN POTATO CHIP CO,194.99,78
2010,CROSS & PETERS INC,330.34000000000003,166
2010,CYCLONE ENTP,72.6,50
