YEAR,MskdName,DOLLARS,UNITS
2011,Chain98,4912364.44,1560981
2011,Chain112,4831019.43,1751130
2012,Chain112,4827398.1,1705091
2012,Chain98,4781695.1,1451493
2012,Chain5,4728893.49,1708018
2011,Chain5,4636293.45,1680129
2011,Chain73,3016454.33,1133948
2012,Chain73,3003429.06,1079759
2012,Chain110,1138753.22,429719
2011,Chain110,1137455.2,498085
2011,Chain51,766502.87,222164
2012,Chain4,750637.3,238105
2011,Chain4,750402.74,243199
2012,Chain51,741877.51,206932
2012,Chain29,737950.24,240777
2011,Chain29,704799.34,228488
2011,Chain52,584731.88,194737
2012,Chain52,551847.2,180781
2011,Chain1,452661.64,143423
2012,Chain1,445578.01,144959
2012,Chain13,249317.38,95734
2011,Chain13,166710.54,65683
