YEAR,UPC,DOLLARS,PR,UNITS
2011,00-01-15665-77045,308578.54,0.21255180580224986,51523
2011,00-01-20685-00029,227086.29,0.4071801166001841,76430
2011,00-01-28400-00289,86376.42,0.30842745438748914,12952
2011,00-01-28400-02333,249363.04,0.4059718100890208,93600
2011,00-01-28400-03346,608710.11,0.44110634239389607,234864
2011,00-01-28400-03375,217659.85,0.20402445236882322,62888
2011,00-01-28400-03420,352978.25,0.5351591413767579,137996
2011,00-01-28400-03633,221060.47,0.4047138047138047,68532
2011,00-01-28400-03854,548580.75,0.508629191321499,203673
2011,00-01-28400-03875,1015516.74,0.545025931164545,375973
2011,00-01-28400-03895,148393.22,0.5612809315866084,53839
2011,00-01-28400-03913,245785.71,0.29734848484848486,81764
2011,00-01-28400-03924,204859.4,0.26123665259498385,68072
2011,00-01-28400-05160,375576.84,0.4534661049406358,116300
2011,00-01-28400-08314,434114.9,0.2502248201438849,98888
2011,00-01-28400-08339,241629.69,0.5719079578139981,96235
2011,00-01-28400-08342,382222.71,0.5487127713276123,152711
2011,00-01-28400-08359,171774.48,0.2181709503885236,47951
2011,00-01-28400-08391,464343.06,0.41406436233611443,68796
2011,00-01-37000-22996,220428.53,0.26375851279219586,124873
2011,00-01-41262-28140,261673.26,0.5978508629111039,110267
2011,00-01-41262-28443,388766.61,0.4635623303403633,184189
2011,00-01-77975-08004,236869.45,0.32188344268622154,83986
2011,00-01-77975-08006,279906.89,0.3221988929184959,99192
2011,00-02-15665-60100,254269.14,0.3141126318151223,93303
2011,00-02-28400-03374,513979.14,0.5055276381909548,200002
2011,00-02-28400-03418,316403.5,0.5213281628696074,122935
2011,00-02-28400-06399,852146.42,0.5244072524407253,274367
2011,00-02-28400-06404,463393.31,0.5173148641449121,146239
2011,00-02-28400-06405,377572.44,0.5262655205348615,118813
2011,00-02-28400-06406,279729.89,0.523943661971831,88052
2011,00-02-28400-06408,1009383.43,0.46447876447876446,321770
2011,00-02-28400-08313,393177.71,0.25836139169472505,89260
2011,00-02-28400-08321,308519.65,0.5104166666666666,125924
2011,00-02-41262-28424,57563.61,0.4848993288590604,31372
2011,00-03-28400-00288,153168.16,0.294811320754717,23079
2011,00-03-28400-03345,1022580.73,0.5421597633136095,395842
2011,00-03-28400-03877,171540.78,0.5461068296571884,62784
2011,00-03-28400-06408,35030.24,0.8181818181818182,11676
2011,00-03-41262-27213,290517.36,0.3728090952155377,45950
2012,00-01-15665-77045,330911.47,0.251551043429216,52503
2012,00-01-20685-00029,270237.48,0.37200926164136866,84410
2012,00-01-28400-00289,328275.78,0.46462318506568334,48978
2012,00-01-28400-02333,213874.66,0.3695400077309625,75677
2012,00-01-28400-03346,706581.76,0.5426008968609866,275997
2012,00-01-28400-03375,321610.87,0.33722264728385615,103950
2012,00-01-28400-03420,431473.56,0.6342846342846343,171213
2012,00-01-28400-03633,466330.66,0.4580152671755725,143983
2012,00-01-28400-03854,753409.02,0.5887931034482758,279862
2012,00-01-28400-03875,1399523.49,0.5857142857142857,518598
2012,00-01-28400-03895,259354.63999999998,0.6,94527
2012,00-01-28400-03913,323841.62,0.2960572226099093,105985
2012,00-01-28400-03924,279404.59,0.30070671378091873,91475
2012,00-01-28400-05160,344695.43,0.5235812883435583,106471
2012,00-01-28400-08314,478950.32,0.25937934228809634,117814
2012,00-01-28400-08339,40.93,0.1111111111111111,12
2012,00-01-28400-08342,121.81,0.36363636363636365,37
2012,00-01-28400-08359,255895.96,0.14223149113660064,68562
2012,00-01-28400-08391,18.47,0.5,3
2012,00-01-37000-22996,229739.39,0.24332667514072998,134810
2012,00-01-41262-28443,381367.7,0.5611004478566859,182895
2012,00-01-77975-08004,223364.06,0.33998435054773085,77665
2012,00-01-77975-08006,271402.31,0.34163908896242945,93936
2012,00-02-15665-60100,244697.37,0.3470391061452514,90035
2012,00-02-28400-03374,624644.68,0.6381591941536638,246374
2012,00-02-28400-03418,380846.34,0.6146386093321135,149366
2012,00-02-28400-06399,741246.26,0.5468615649183147,233366
2012,00-02-28400-06404,424530.69,0.5530942334739803,132429
2012,00-02-28400-06405,335078.65,0.5492257694513477,103955
2012,00-02-28400-06406,261451.41,0.5366528354080221,81118
2012,00-02-28400-08313,405943.64,0.32253618194348727,100586
2012,00-02-28400-08321,429.85,0.32432432432432434,112
2012,00-02-41262-28424,253397.1,0.12743581812557997,128324
2012,00-03-28400-00288,612118.18,0.43080226429826274,91138
2012,00-03-28400-03345,1382585.52,0.6079986209274263,538304
2012,00-03-28400-03877,253464.03,0.5787451984635084,92641
2012,00-03-28400-06408,1112857.14,0.4783657990001724,345137
2012,00-03-41262-27213,302363.46,0.3661112414926074,47952
