YEAR,UPC,DOLLARS,UNITS
2012,00-01-28400-03875,1399523.49,518598
2012,00-03-28400-03345,1382585.52,538304
2012,00-03-28400-06408,1112857.14,345137
2011,00-03-28400-03345,1022580.73,395842
2011,00-01-28400-03875,1015516.74,375973
2011,00-02-28400-06408,1009383.43,321770
2011,00-02-28400-06399,852146.42,274367
2012,00-01-28400-03854,753409.02,279862
2012,00-02-28400-06399,741246.26,233366
2012,00-01-28400-03346,706581.76,275997
2012,00-02-28400-03374,624644.68,246374
2012,00-03-28400-00288,612118.18,91138
2011,00-01-28400-03346,608710.11,234864
2011,00-01-28400-03854,548580.75,203673
2011,00-02-28400-03374,513979.14,200002
2012,00-01-28400-08314,478950.32,117814
2012,00-01-28400-03633,466330.66,143983
2011,00-01-28400-08391,464343.06,68796
2011,00-02-28400-06404,463393.31,146239
2011,00-01-28400-08314,434114.9,98888
2012,00-01-28400-03420,431473.56,171213
2012,00-02-28400-06404,424530.69,132429
2012,00-02-28400-08313,405943.64,100586
2011,00-02-28400-08313,393177.71,89260
2011,00-01-41262-28443,388766.61,184189
2011,00-01-28400-08342,382222.71,152711
2012,00-01-41262-28443,381367.7,182895
2012,00-02-28400-03418,380846.34,149366
2011,00-02-28400-06405,377572.44,118813
2011,00-01-28400-05160,375576.84,116300
2011,00-01-28400-03420,352978.25,137996
2012,00-01-28400-05160,344695.43,106471
2012,00-02-28400-06405,335078.65,103955
2012,00-01-15665-77045,330911.47,52503
2012,00-01-28400-00289,328275.78,48978
2012,00-01-28400-03913,323841.62,105985
2012,00-01-28400-03375,321610.87,103950
2011,00-02-28400-03418,316403.5,122935
2011,00-01-15665-77045,308578.54,51523
2011,00-02-28400-08321,308519.65,125924
2012,00-03-41262-27213,302363.46,47952
2011,00-03-41262-27213,290517.36,45950
2011,00-01-77975-08006,279906.89,99192
2011,00-02-28400-06406,279729.89,88052
2012,00-01-28400-03924,279404.59,91475
2012,00-01-77975-08006,271402.31,93936
2012,00-01-20685-00029,270237.48,84410
2011,00-01-41262-28140,261673.26,110267
2012,00-02-28400-06406,261451.41,81118
2012,00-01-28400-03895,259354.63999999998,94527
2012,00-01-28400-08359,255895.96,68562
2011,00-02-15665-60100,254269.14,93303
2012,00-03-28400-03877,253464.03,92641
2012,00-02-41262-28424,253397.1,128324
2011,00-01-28400-02333,249363.04,93600
2011,00-01-28400-03913,245785.71,81764
2012,00-02-15665-60100,244697.37,90035
2011,00-01-28400-08339,241629.69,96235
2011,00-01-77975-08004,236869.45,83986
2012,00-01-37000-22996,229739.39,134810
2011,00-01-20685-00029,227086.29,76430
2012,00-01-77975-08004,223364.06,77665
2012,00-02-41262-28140,221645.13,93382
2011,00-01-28400-03633,221060.47,68532
2012,00-01-28400-03919,220569.58,72234
2011,00-01-37000-22996,220428.53,124873
2011,00-02-28400-01109,219269.41,55574
2012,00-02-28400-01109,218778.79,52695
2011,00-01-28400-03375,217659.85,62888
2012,00-01-28400-03367,217307.12,85027
2011,88-04-99998-10574,215629.91,159664
2012,00-01-28400-02333,213874.66,75677
2012,88-01-99998-85016,213048.6,142762
2011,00-02-28400-08330,210975.09,83857
2012,00-01-28400-03425,210894.99,80873
2011,00-01-28400-03924,204859.4,68072
2011,00-06-41780-00011,203335.86,76861
2012,00-01-28400-03400,203223.36,49668
2012,00-09-28400-00303,201442.31,22476
2012,00-04-41780-00274,198279.11,30809
2012,00-01-28400-03930,197609.53,64357
2012,00-06-41780-00011,196772.8,73348
2012,00-01-20685-00027,196410.47,61134
2011,00-01-28400-03919,192165.23,63839
2011,00-01-28400-08392,189685.46,27958
2011,00-02-28400-08294,189164.41,63307
2011,00-01-28400-07357,183092.84,53337
2012,00-02-41262-28433,181964.51,92229
2012,00-02-28400-04768,181846.11,64684
2011,00-04-41780-00274,180621.97,28727
2011,00-04-41780-00091,179245.15,68183
2012,00-02-77975-08822,176824.4,54671
2012,00-01-28400-08298,175703.93,43923
2011,00-01-77975-08009,175674.5,62399
2012,00-02-28400-08294,175468.43,57831
2012,00-01-77975-08009,175426.57,61005
2012,00-04-41780-00091,175202.32,64979
2012,00-02-41262-28427,174455.76,88410
2011,00-01-28400-08359,171774.48,47951
2011,00-03-28400-03877,171540.78,62784
2012,00-02-28400-07166,169687.27,44620
2011,00-01-28400-03367,169256.39,64310
2012,00-01-28400-08718,168210.08,24672
2011,00-01-77975-08007,166161.33,59385
2012,00-01-77975-08007,166010.7,58162
2012,88-01-99998-86226,162925.87,48403
2011,00-01-20685-00027,162882.15,54907
2012,00-01-28400-07357,160267.95,43596
2012,00-02-41262-28429,160101.29,81023
2012,00-01-37000-23004,159105.5,93465
2011,00-01-28400-03425,156913.29,59564
2011,00-01-72600-00584,156717.36,64134
2011,08-01-43571-00015,155898.64,43236
2011,00-01-37000-18825,155475.18,48970
2011,00-03-28400-00288,153168.16,23079
2012,00-04-28400-03332,152927.53,50402
2011,00-01-72600-00562,152261.35,62937
2011,00-03-72600-00662,151183.54,61671
2011,00-03-28400-07362,149772.65,43692
2011,00-01-28400-03895,148393.22,53839
2011,00-01-28400-08335,146545.38999999998,59319
2011,00-01-28400-03400,146224.93,32965
2012,00-04-41780-00281,145415.82,53771
2012,00-01-37000-18825,145148.11,46176
2012,00-04-77975-02248,144747.96,52968
2011,00-02-28400-04768,144496.04,53669
2011,00-04-41780-00281,143471.86,55125
2011,00-01-28400-03930,143328.4,47460
2011,00-01-28400-07185,143008.36,37811
2012,00-01-72600-00562,142837.87,56004
2012,00-01-41262-28451,142634.38999999998,65857
2011,00-04-77975-02248,142443.11,56835
2011,00-01-28400-07187,142293.09,38224
2011,00-02-28400-07166,141637.05,36949
2011,00-01-77975-08822,140939.84,43230
2011,00-01-28400-01775,139542.05,35510
2012,07-03-28229-12375,139381.72,32795
2011,07-03-28229-12375,139142.36,33613
2012,00-01-28400-01775,138030.96,33313
2011,00-02-77817-11150,137830.8,48105
2012,00-04-41780-00261,136340.76,50151
2012,00-03-72600-00662,136019.35,54099
2011,00-01-41262-28148,135934.49,59070
2012,08-01-43571-00015,135788.25,38082
2011,00-01-37000-23004,135454.41,77370
2012,00-02-28400-07187,135111.46,35971
2011,00-01-41262-27620,134606.04,13036
2011,00-02-77817-10930,134436.6,55077
2011,00-03-72600-00680,134433.62,54328
2012,00-01-72600-00584,133871.53,51768
2012,00-02-77817-11150,133499.88,42967
2012,88-01-99998-85019,133363.79,100942
2012,00-01-41262-27620,133049.86000000002,12897
2011,00-01-28400-07363,131287.81,38295
2012,00-01-28400-03952,131176.44,43758
2012,00-02-28400-07185,130787.42,34386
2011,00-01-41262-28451,129776.91,58500
2012,00-03-28400-07362,129256.07,35253
2012,00-02-77817-10930,127741.58,48859
2011,00-03-28400-07361,126584.64,36989
2012,00-01-24100-51445,125507.41,41917
2012,00-03-72600-00680,125392.1,49746
2012,00-01-28400-03331,123914.71,40295
2012,00-01-15665-25007,123761.3,34219
2012,00-05-28400-00210,123338.37,62231
2011,00-01-41262-28149,123162.22,53047
2011,00-01-28400-08298,123018.94,28711
2012,00-02-28400-07735,123014.31,40573
2011,00-01-77975-08003,122900.36,43669
2012,00-01-77975-08003,122229.15,42710
2012,00-01-28400-07363,121538.6,33059
2011,00-03-77975-02275,120207.34,39797
2012,00-03-77975-02225,119261.94,45285
2012,00-01-28400-03419,118934.23,47794
2011,00-01-28400-07186,118777.42,31423
2011,00-01-28400-08718,118628.56,17263
2011,00-01-41262-28143,118535.08,50169
2011,88-04-99998-11529,118493.04,35738
2011,00-01-16000-15990,118209.0,48507
2012,00-03-28400-04770,117484.37,41924
2012,00-02-41262-28148,116930.54,50742
2012,00-02-28400-05658,116911.6,48143
2012,00-03-77975-02275,116457.43,36935
2011,00-01-77975-08005,116355.05,41515
2012,00-01-77975-08786,116308.97,44095
2012,00-01-16000-15990,115704.39,45995
2011,00-01-28400-05658,112814.16,47206
2011,00-01-82666-70010,111637.96,44438
2011,00-03-77975-02225,111430.63,44683
2012,00-04-28400-02203,110551.51,34408
2012,00-01-77975-02003,108471.67,40948
2012,00-01-28400-03416,108311.34,44367
2011,00-02-28400-07735,108222.19,36315
2011,00-02-41262-28140,107831.25,44605
2012,00-01-77975-08005,107774.29,37807
2011,88-04-99998-10577,107306.44,78534
2011,00-02-28400-08387,106938.54000000001,11527
