L3,DOLLARS,market_share
SNYDER'S OF HANOVER INC.,31009803.52,0.026753259168275402
PEPSICO INC,27763041.14,0.023952161916758644
GENERAL MILLS,16678863.72,0.014389448273856912
UTZ QUALITY FOODS,16457109.31,0.014198132866179089
HERR FOODS INC,8236658.83,0.007106058192775484
KETTLE FOODS INC,6630597.54,0.0057204520600635305
ROBERT'S AMER GMT,6629613.58,0.005719603162814819
THE HAIN CELESTIAL GROUP INC,6553910.44,0.005654291374464855
BACHMAN CO,2958498.12,0.0025524014333779157
PALLADIUM EQUITY PARTNERS,2926982.87,0.002525212107574571
OLD DUTCH FOODS INC,2680865.27,0.0023128777103434742
CAPE COD POTATO CHIP,2129343.92,0.0018370606480434572
MARTIN'S POTATO CHIPS INC,1974894.0,0.0017038112149854758
GOLDEN FLAKE SNACK FOODS,1482443.57,0.0012789567339559016
CALBEE AMER INC,1289720.9,0.0011126880397738619
DEL MONTE FOODS,1242173.73,0.0010716674070275875
JUANITA'S FOODS,1228555.3,0.0010599183036506495
XOCHITL INC,1174987.75,0.001013703675194998
BETTER MADE SNACK FOODS INC,1151914.57,0.0009937976230983395
CONAGRA FOODS INC,1145544.34,0.0009883017993649963
LUNDBERG FAMILY FARMS,1011788.78,0.0008729061258783875
ZAPPE ENDEAVORS INC,931966.99,0.0008040410318519661
GLUTINO IMPORTATIONS DEROMA INC,879937.45,0.0007591532992635155
KTCHN COOKED INC,875214.06,0.0007550782629047287
GRANDE FOODS INC,869279.26,0.0007499581001017145
IRA M MIDDLESWARTH & SON,841348.15,0.0007258609392085258
EL MILAGRO,786928.9,0.0006789115189049053
KLN ENTERPRISE,717763.45,0.0006192400279795608
MARTIN SNACKS,707744.65,0.0006105964532860853
EVANS FOOD PRODS CO,693934.5,0.0005986819462539957
BALLREICH BROS INC,659131.74,0.0005686563687797374
GARDEN FRESH SALSA CO,630280.03,0.0005437649735607998
VIC'S CORN POPPER INC,615087.79,0.0005306580883848101
ALTRIA GROUP,610659.89,0.0005268379817467656
EL RANCHERO FOOD PRODS,604193.72,0.0005212593871670046
UBIQUITY BRANDS,589664.71,0.0005087246940742937
BIRDS EYE FOODS INC,586370.04,0.0005058822652170102
SNAK KING CORP.,566205.34,0.0004884854621446337
EL MATADOR TORTILLA FACTORY,519064.36,0.00044781526394189173
THE INVENTURE GROUP INC,514895.2,0.0004442183814939888
GRUMA S A,508931.18,0.0004390730095588886
KELLOGG CO,507211.68,0.0004375895358209728
WACHUSETT POTATO CHIP CO,482755.32,0.0004164901651986902
GENISOY PRODUCTS COMPANY,444088.64,0.0003831310466686554
TERRELLS POTATO CHIP CO,387337.8,0.0003341700808386684
HORMEL FOODS,377345.22,0.0003255491270706993
SEASONS ENTP LTD,365969.49,0.000315734880659172
BENZEL BRETZEL BKR INC,352850.42,0.0003044165928947758
RALPH GOOD INC,347406.43,0.0002997198693155514
HUME SPCL,340053.15,0.00029337593342282587
LDI INC,320597.51,0.00027659086160291044
R. W. GARCIA CO,309888.09,0.0002673514645000838
BIMBO BAKERIES USA,306930.82,0.00026480012260946076
QUE PASA MEXICAN FOODS,298764.94,0.00025775512782785445
SUNCREST FARMS INC.,288953.28,0.00024929026017135017
TOMS FOODS INC,285190.19,0.00024604370873871647
MICHAEL DISTG CO INC,284549.27,0.00024549076428503517
TROYER FARMS,279078.84,0.00024077122997848857
JONES POTATO CHIP CO,268852.35,0.00023194847374350235
AMERIFOODS,262891.74,0.00022680604373654777
DON JULIO FOODS,261576.82,0.00022567161553796664
COLBY RIDGE POPCORN,254899.56,0.00021991090611590453
KETTLE CORN CAFE,245748.28,0.00021201577174642837
OSEM EXP (1962) LTD,206458.72,0.00017811927251161133
HUMPTY DUMPTY CO.,202123.11,0.00017437878773531284
NEWMANS OWN INC,199919.49,0.00017247764647427996
JULIO'S SEASONING,198298.17,0.00017107887611036158
MIKE SELL INC,187718.37,0.00016195130678648732
JOHN WM MACYS CHEESESTICKS,180433.19,0.0001556661231831203
RAB HOLDINGS,177222.88,0.00015289647469485712
POPPEES POPCORN,157479.84,0.00013586345268460905
GOYA FOODS INC,155340.36,0.00013401764728024956
NORTHWEST MEXC FOODS INC,154938.06,0.00013367056877791543
HAVE'A NATR FOODS,154651.05,0.00013342295505443813
FOOD SHOULD TASTE GOOD,150824.28,0.00013012146462347326
CASA SANCHEZ,140512.91,0.00012122547939699285
CHEMA PORK SKINS,138981.06,0.00011990389798063556
